signum,revisionID,translitterering,normalisering,translation,Latitude,Longitude,Stil,Inscriber,Material,Period_begin,Period_end,edition
Upplands runinskrifter 13,48918437,... ...[r]kutr þaiʀ ... ... atu ' ok| |ku[þ]... ...,... [Þo]rgutr þæiʀ ... ... andu ok Guð[s] ...,... Torgöt de... . (hans) ande och Guds (moder)...,59,21,,,,793,1066,0
Upplands runinskrifter 14,53640964,tuki : ok : þorker : þau · li… … at : forkun : sun : sin :,"Toki ok Þorgærðr þau le[tu] ... at Forkunn, sun sinn.","Toke och Torgärd de lät [resa stenen] efter Forkunn, sin son",59.35684,17.64538,,,,0,1500,0
Upplands runinskrifter 15,55193503,"iggeborg ÷ filia : ermundi ÷ iacet : hic : Normalisering till latin:Ingeborg filia Ermundi iacet hic ...Översättning till nusvenska:Ingeborg Ermunds dotter vilar här.Inskriften börjar med kors ᛭, och avslutas med ligatur Ave Maria ᛯ. Ermundus är en  latinisering av Ærnmundr,  som  är  känt  från: U 72, U 81, U 107, U 180, U 209, U 283, U 360, U 685, U 1030.Se även Wikimedia Commons har media som rör Upplands runinskrifter 15.Alfabetisk lista över runinskrifterLista över Upplands runinskrifterSverige under vikingatidenSverige under äldre medeltiden== Källor =",,Ingeborg Ermunds dotter vilar här.,59,16,,,,0,1500,0
Upplands runinskrifter 16,51469590,[kuni · auk : kari : raisþu · stin · efiʀ ...r : han : uas : buta : bastr : i ruþi : hakunar],Gunni ok Kari ræisþu stæin æftiʀ ... Hann vas bonda bæztr i roði Hakonaʀ.,Gunne och Kåre reste stenen efter .... Han var den bäste av bönder i Håkons rod.,59.28446,17.7246,,,,793,1066,0
Upplands runinskrifter 17,55354943,: þuruti · auk · asi · raisa · stin · aftʀ · auþkiʀ · (b)... ...- kuþ · hialbi · at · hns :,"Þrotti ok Asi ræisa stæin æftiʀ Auðgæiʀ, b[roður] ... Guð hialpi and hans.",Trotte och Åsa reste stenen efter Ödger (sin) broder.... Gud hjälpe hans ande.,59,18,,,,0,1500,0
Upplands runinskrifter 18,54284896,-a-ur · [au]k : ul... · ristu : tin [:] (þ)ina · [efti(ʀ) · -au-altar · mak ·] sin · k[uþa]n · [i · uiki :],"''-a-ur ok ... ræistu stæin þenna æftiʀ -au-altar, mag sinn goðan i Vik/Vikby.","... och ... reste denna sten efter ..., sin gode frände i Vik.",59.28855,17.67005,,,,793,1066,0
Upplands runinskrifter 22,44833167,ulfr · uk uikil + uk syrkil · þa... ...- stain · þina i(f)(t)iʀ ayt--u faþur sin ku·þ (h)ia[lbi] a-t,"Ulfʀ ok Vikell ok Syrkell/Sørkell þæ[iʀ] ... stæin þenna æftiʀ ayt--u, faður sinn. Guð hialpi a[n]d.",Ulv och Vikel och Styrkel de ... denna sten efter ... sin fader. Gud hjälpe anden.,0,0,,,,0,1500,0
Upplands runinskrifter 24,54262671,... faþur sin + guþ hialbi · --- ' han... ...,... faður sinn. Guð hialpi [and] han[s] ...,... sin fader. Gud hjälpe hans ande ..,59.39081,17.70244,,Torbjörn skald  ,,793,1066,0
Upplands runinskrifter 25,54492673,· humfriþr ' lit × ris- · stn · þinsa · ifa-- · haur · bunta · sin · kuþ hialbi i ot hans,"Holmfriðr let ræis[a] stæin þennsa æf[tiʀ] Haur, bonda sinn. Guð hialpi〈i〉and hans.","Holmfrid lät resa denna sten efter Håur(), sin make. Gud hjälpe hans ande.",59,23,,,,0,1500,0
Upplands runinskrifter 29,54693700,raþ| |þu kaiʀmuntr -ik · kaiʀ[l]a[uk ·] (m)aytumi| |i þa · finku · þau sun · aþ han · truknaþi · in sun to : siþan : þa + fi(k) (h)(u)- --þrik · ha- ... (þ)(i)nsa · þa · finku þa(u) [bar](n) ... (i)(n) maʀ ain lifþi · [hu]n hit ' ...g[a] ' h(a)... fik raknfastr · i · snutastaþum · þa uarþ han tauþr · auk · sun · siþan · in · moþir kuam + at sunar ' arfi ' þa ' fik hun ' airik ' þar ' uarþ hun tauþ ' þar kuam ' gaiʀlauk at arfi ' inku tutur sinar þurbiur(n) ' skalt ' risti runar,"Rað þu! Gæiʀmundr [f]ikk Gæiʀlaug møydomi i. Þa fingu þau sun, aðan hann drunknaði. En sunn do siðan. Þa fikk ho[n] [Gu]ðrik. Ha[nn] ... þennsa. Þa fingu þau barn.  En maʀ æin lifði; hon het [In]ga. Ha[na] fikk Ragnfastr i Snutastaðum. Þa varð hann dauðr ok sunn siðan. En moðiʀ kvam at sunaʀ arfi. Þa fikk hon Æirik. Þar varð hon dauð. Þar kvam Gæiʀlaug at arfi Ingu, dottur sinnaʀ. Þorbiorn Skald risti runaʀ.","Tyd! Germund fick till hustru Gerlög som ungmö. Sedan fingo de en son, innan han drunknade. Och sonen dog sedan. Därpå fick hon Gudrik till man. Han ... denna ... Sedan fingo de barn. Men en enda flicka levde kvar, hon hette Inga. Henne fick Ragnfast i Snottsta till hustru. Därpå dog han och sonen sedan. Och modern kom till arv efter sin son. Sedan fick hon Erik till man. Därpå dog hon. Då kom Gerlög till arv efter Inga, sin dotter. Torbjörn skald ristade runorna.",59,23,,,,0,1500,0
Upplands runinskrifter 31,54542457,§A : sta[infas-r : li- ... ...in : at : b]iar[n] -u---[u]r ...i[n] §B ... at : bia-[n a-... ...rnfas]... ...,"§A Stæinfas[t]r le[t] ... [stæ]in at Biorn, [br]o[ð]ur [s]inn. §B ... at Bio[r]n o[k A]rnfas[t] ...","Stenfast lät ... sten efter Björn, sin broder ... efter Björn och Arnfast()",59.41824,17.69428,,,,793,1066,0
Upplands runinskrifter 32,50233202,+ unfaikr + auk + krukr + auk × stain + auk + halki × litu + raisa + stain × þana + aftir × suain + foþur sin × auk + at + butna + bruþur sin auk × ika + kuþ × hialbi + ont þaira,"Ofæigʀ ok Krokʀ ok Stæinn ok Hælgi letu ræisa stæin þenna æftiʀ Svæin, faður sinn, ok at Botna, broður sinn, ok Inga. Guð hialpi and þæiʀa.","Ofeg och Krok och Sten och Helge och Inga lät resa denna sten efter Sven, sin fader, och efter Botne, sin broder, Gud hjälpe deras ande.",0,0,,,,0,1500,0
Upplands runinskrifter 33,54555183,[...on : au-mfast...],... Ho[l]mfast[r](),... Holmfastr,59.34106,17.69176,,,,793,1066,0
Upplands runinskrifter 34,54553417,suain × auk × halftan × auk × þora × litu × raisa × stain -ina × aftir × uikik × foþur sin × au(k) × at × þagn × bruþur × sin × kuþ × hialbi at þaira,"Svæinn ok Halfdan ok Þora letu ræisa stæin [þ]enna æftiʀ Viking, faður sinn, ok at Þegn, broður sinn. Guð hialpi and þæiʀa.","Sven och Halvdan och Tora läto resa denna sten efter Viking, sin fader, och efter Tägn, sin broder. Gud hjälpe deras ande.",59.34878,17.71768,,"Balle,Balle <ref name=rtdb/>",,793,1066,0
Upplands runinskrifter 35,55786179,aþisl : auk : ays- : auk : ---fr : þaiʀ : litu : raisa : stain : þinsa : at : uikisl : faþur : sin : boanta : irfriþaʀ,"Aðisl ok As[l]/Ôs[l] ok [Ola]fʀ þæiʀ letu ræisa stæin þennsa at Vigisl, faður sinn, boanda Ærnfriðaʀ.","Adils och Ösel() och Olov() de lät resa denna sten efter Vigisl, sin fader, Ärnfrids make.",59,21,,,,0,1500,0
Upplands runinskrifter 36,54553146,inkimoþ ' lit ' raisa ' staina ' uk ' bro ' eftiʀ ' karl boanta sin ybiʀ risti,"Ingimoð let ræisa stæina ok bro æftiʀ Karl, boanda sinn. Øpiʀ risti.","Ingemod lät resa stenarna och [göra] bron efter Karl, sin man. Öpir ristade.",59.34908,17.7194,,Öpir 1 <ref name=rtdb/>,,793,1066,0
Upplands runinskrifter 37,54253439,+ utrykr + auk + buanti + auk + alfrikr + raistu + stain + þinsa + eftiʀ + kara + faþur + sin + auk + guneþr + at + buanta + sin · guþ hialbi (a)-- -ans + þurbiurn + hiuk ' runaʀ,"Otryggʀ ok Boandi ok Alfrikʀ ræistu stæin þennsa æftiʀ Kara, faður sinn, ok Gunnæiðr at boanda sinn. Guð hialpi a[nd h]ans. Þorbiorn hiogg runaʀ.","Otrygg och Bonde och Alvrik reste denna sten efter Kåre, sin fader, och Gunned efter sin man. Gud hjälpe hans ande. Torbjörn högg runorna.",59.3741,17.67267,,Torbjörn skald ,,793,1066,0
Upplands runinskrifter 38,54251517,' likuiþr ' auk ' knu-... ... ...(t)u ' r--sa ' ...n · at · (u)... si- · (b)u--t(a) ' ...rlaugar · kuþ hie(b)li - sal · ha-s,"Likviðr ok Knu[tr] ... [le]tu r[æi]sa [stæi]n at ... si[nn], boa[n]da [Gæi]ʀlaugaʀ. Guð hiælpi ... sal ha[n]s.","Likvid och Knut ... läto resa stenen efter ... sin ..., Gerlögs man. Gud hjälpe hans själ.",59.37411,17.67281,,"Balle,Balle  [Stille 1999b:158]",,793,1066,0
Upplands runinskrifter 39,54544868,[halki : lit hakua : (s)-ain : þisa · at · salmut : sua · sin · kuþ : hialbi : ot : hans ×],"Hælgi let haggva s[t]æin þennsa at Salmund, sun sinn. Guð hialpi and hans.","Helge lät hugga denna sten efter Salmund, sin son. Gud hjälpe hans ande.",59.35629,17.69392,,,,793,1066,0
Upplands runinskrifter 40,54545499,: asbiarn ... þo[nnstr... ... ...- kuilfr : l]itu : at : asulf · faþur sen,"Asbiorn ... ... ... ... Gunnælfʀ() letu at Asulf, faður sinn.","Asbjörn ... Gunnälv läto (resa stenen) efter Åsulv, sin fader.",59.31782,17.74575,,"Troligen samma som gjort Upplands runinskrifter 52,U&nbsp,52.<ref name=sri1/>",,793,1066,0
Upplands runinskrifter 41,54545410,: forkuþr : auk : fuluki : litu : rista : runa : iftir · hiluka : faþur · isin : kristr hialbin · irinfastr risti ·,"Forkuðr ok Fullhugi letu rista runaʀ æftiʀ Illhuga, faður sinn. Kristr hialpin. Ærinfastr risti.","Forkunn och Fulluge läto rista runorna efter Illuge, sin fader. Krist hjälpe. Ärenfast ristade.",59.35012,17.75211,,",Ärnfast <ref name=rtdb/>",,793,1066,0
Upplands runinskrifter 42,54546527,kiulakr × lit × raisa istai[n] × iftir × kuih sua[un] sin × (k)u-an ×,"Kiulakʀ let ræisa stæin æftiʀ Kvig, sun() sinn go[ð]an.","Kjulak lät resa stenen efter Kvig, sin gode son.",59.32152,17.77018,,,,793,1066,0
Upplands runinskrifter 43,54501088,§A : ofaikr : ok : sikmar : ok : fraibiarn : þiʀ : raistu : at : iarut : faþr : sin : bota : gunum : §B : irnfastr : iuk : runaʀ : þasi :,"§A Ofæigʀ ok Sigmarr ok Frøybiorn þæiʀ ræistu at Iarund, faður sinn, bonda Gunnuʀ. §B Ærnfastr hiogg runaʀ þessi.","Ofeg och Sigmar och Fröbjörn de reste (stenen) efter Jörund, sin fader, Gunnas man. Ärnfast högg dessa runor.",59.32545,17.72899,pr3,Ärnfast,Runsten,793,1066,0
Upplands runinskrifter 44,52294699,§A aystin : ok : fraystin [: ra... ... i]ftiʀ : aista [: faþur · s]in : ok : ... §B asker : -- bu-a : --- : en : snari : iak,"§A Øystæinn ok Frøystæinn ræ[istu stæin] æftiʀ Æista, faður sinn, ok ... §B Asgærðr [at] bo[nd]a [sinn]. En Snari hiogg.","§A Östen och Frösten reste stenen efter Este, sin fader.<br>§B Äsgärd (reste) efter sin make, men Snare högg.",59.32858,17.72983,,",Snare ",,793,1066,0
Upplands runinskrifter 45,52403092,sahsi · lit ' stain ' hakua ' ok · bro · kiara eft-- -...(r)þi ' moþor ' sina suain iak,"Saxi let stæin haggva ok bro gærva æft[iʀ] ..., moður sina. Svæinn hiogg.","Saxe lät hugga stenen och göra bro efter . . ., sin moder.",59.32671,17.73727,,"Sven,,Sven 4 ",,793,1066,0
Upplands runinskrifter 46,49855741,hulmk[a]iʀ · auk · u... ...[ist]u · st[a]in ... aftiʀ · muþu- ...-nuk-... ...[i]l... ...u · siua,Holmgæiʀʀ ok ... [r]æistu stæin ... æftiʀ moðu[r] ... ... ... ...,Holmger och... reste sten... efter moder...,59.32113,17.83947,,,,0,1500,0
Upplands runinskrifter 47,50761609,: þorkisl : auk : sikniutr : þiʀ : raistu : stain : at : uik : faþur : sin :,"Þorgisl ok Signiutr þæiʀ ræistu stæin at Vig, faður sinn.","Torgils och Signiut de reste stenen åt Vig, sin fader.",0,0,,,,0,1500,0
Upplands runinskrifter 52,55354945,afriþ : lit : at : suartau(a) : auk : at : iulfast : suni : sina : ok : at : askaut ·,"Afriðr let at Svarthaufða ok at Igulfast, syni sina, ok at Asgaut.","Åfrid lät (hugga hällen) efter Svarthövde och efter Igulfast, sina söner, och efter Åsgöt",59.30587,17.86381,,,,0,1500,0
Upplands runinskrifter 53,55193514,þor--ain · auk · fraykun ' þau ...- · stain ' iftiʀ -... sun sin,"Þor[st]æinn ok Frøygunn þau ... stæin æftiʀ ..., sun sinn.","Torsten och Frögunn de (lät resa) stenen efter ..., sin son.",59.32472,18.07017,pr4,,runsten,793,1066,0
Upplands runinskrifter 54,54531977,[...ir × auk × aystain × auk + soti + ...-n · raistu × stain þinsa efti... ...ur × si... ...uþ ialbi × an... ...],... ok Øystæinn ok Soti ... ræistu stæin þennsa æfti[ʀ] [fað]ur/[broð]ur si[nn]. [G]uð hialpi an[d] ...,... och Östen och Sote ... reste denna sten efter ... sin ... Gud hjälpe [hans] ande.,59.3246,18.06429,,,,793,1066,0
Upplands runinskrifter 55,54434669,[... (s)un · sin ...],... sun sinn ...,... sin son ...,59.35727,17.93645,,,,793,1066,0
Upplands runinskrifter 56,47826185,× k[a]mal ak × þialfi × þiʀ × litu × risa × s(t)ain × þi(n)sa × ... faþur × sin × man| |nu(t)an × ialbin kuþ × sial an,"Gamall ok Þialfi þæiʀ letu ræisa stæin þennsa ... faður sinn, mann nytan. Hialpin Guð sial hans.","Gammal och Tjälve de läto resa denna sten (efter) sin fader, en dugande man. Gud hjälpe hans själ.",0,0,,,,0,1500,0
Upplands runinskrifter 57,54460978,: si[nar :] auk [þork... : auk : uifast- ...]tu : r[isa : stin : eft]iʀ : biarn : faþur si[- -oti] koþr : by[ki| |i : ulsunti],"Sinarr ok Þork[ell]() ok Vifast[r] [le]tu ræisa stæin æftiʀ Biorn, faður si[nn, b]ondi goðr, byggi i Ulfsundi.","Senar och Torkel och Vifast läto resa stenen efter Björn, sin fader, en god bonde, bodde i Ulvsund.",59.34003,17.94534,,,,793,1066,0
Upplands runinskrifter 58,52297245,× sihuiþr × auk × sihrai-r × li-u × ris(t)(a) × stain × þi-(s)a eftʀ × sinar × faþur × sin ×,"Sigviðr ok Sigræi[f]ʀ le[t]u rista stæin þe[nn]sa æftiʀ Sinar, faður sinn.","Sigvid och Sigrev läto rista denna sten efter Sinar, sin fader.<i>"". </i>",59.33901,17.94470,pr4,Torgöt Fotsarve ,,0,1500,0
Upplands runinskrifter 59,52297203,neistr : lit : rista : runaʀ : þisa : ebti · faþur sein : fasta : olf : aik,Næstr() let rista runaʀ þessaʀ æptiʀ faður sinn Fasta olf aik.,Näst lät rista dessa runor efter sin fader Easte ...,59.33898,17.94478,,"Lista_över_runristare#U,Ulv 2 , Lista_över_runristare#F,Fastulv 2  ",,793,1066,0
Upplands runinskrifter 60,47811383,kirʀþu þʀir utr × lʀt + rnesn × s͡tnea + iftʀr + bira fnþur + ʀkʀkriþnr × hna × ohr × irfʀkʀ uʀþa × h...-...þ,"''kirʀþu þʀir Uddr let ræisa stæin æftiʀ Biorn, faður Ingiriðaʀ. Hann vaʀ ærfingi Viða ...","Udd lät resa stenen efter Björn, Ingrids fader. Han var Vides arvinge...",0,0,,,,0,1500,0
Upplands runinskrifter 61,50552214,hialmuiþ(r) : auk : þurbiarn : kunbiarn : auk : halftan : þais : raistu : stin : þina : eftiʀ : bruþur : sin : ulf : auk : faþur : sen biarn : auk : bruþur : sen : blakari,"Hialmviðr ok Þorbiorn, Gunnbiorn ok Halfdan, þæiʀ ræistu stæin þenna æftiʀ broður sinn Ulf ok faður sinn Biorn ok broður sinn Blakara().","Hjälmvid och Torbjörn, Gunnbjörn och Halvdan, de reste denna sten efter sin broder, Ulf (Ulv) och sin fader Björn och sin broder Blåkåre.",59.3914,17.9122,,,,0,1500,0
Upplands runinskrifter 62,54571323,× anu[n]tr × lit × raisa · staina ' -... ...ra × faþur × sin × auk × katil×ui × a[fti](ʀ) b[o]nta · sin ·,"Anundr let ræisa stæina ... ... faður sinn, ok Kætilvi æftiʀ bonda sinn.",Anund lät resa stenen ... efter sin fader och Ketilvi efter sin make.,59.3916,17.9116,,,,0,1500,0
Upplands runinskrifter 63,54795353,· ke... [... stain × if-... bia... ...],... ... stæin æf[tiʀ] Bio[rn] ...,... sten efter Björn ...,59.39151,17.91153,,",Olev <ref name=rtdb/>",,793,1066,0
Upplands runinskrifter 64,54264831,...--u[iþatrik + o]k [gio]kuif[r] þøn litu kiar mirki i(f)(t)ir ar-- -tur[æiþ] : [oæ]...Normalisering till äldre fornsvenska:''...--uiþatrik ok giokuifr þaun letu gærva mærki æftiʀ ar-- -turæiþ oæ....Översättning till nusvenska:... . de läto göra minnesmärket efter . . . .Se ävenAlfabetisk lista över runinskrifterLista över Upplands runinskrifter== Källor =,,... . de läto göra minnesmärket efter . . . .,59.39151,17.91153,,,,1067,1500,0
Upplands runinskrifter 65,54302069,... betær/betar · l-- ...,... Petar l[et]() ...,... Peter lät... (osäkert),59.39159,17.91178,,,,793,1066,0
Upplands runinskrifter 67,54302040,... · sihatr : litu · r(a)... ...,... Sighvatr letu ræ[isa] ...,... Sigvat läto resa ...,59.39151,17.91153,,Öpir<ref name=sri1/> 1  [för få runor för attr. enl. Åhlén 1997],,793,1066,0
Upplands runinskrifter 68,54302028,... reisa + ste... ...,... ræisa stæ[in] ...,... resa stenen ...,59.3911,17.91282,,Visäte ,,793,1066,0
